date,delivery_point,point_type,curve_name,value
2020-11-16,Aldbrough,ugs,Opening Stock,2506683181.0
2020-11-16,Hornsea,ugs,Opening Stock,2552662496.0
2020-11-16,Holford,ugs,Opening Stock,2117735771.0
2020-11-16,Hill Top,ugs,Opening Stock,365067016.0
2020-11-16,Stublach,ugs,Opening Stock,4906132232.0
2020-11-17,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-17,South Hook,lng_terminal,Opening Stock,3265228466.0
2020-11-17,Dragon,lng_terminal,Opening Stock,954877135.0
2020-11-17,Isle Of Grain,lng_terminal,Opening Stock,4952137253.0
2020-11-17,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-17,Aldbrough,ugs,Opening Stock,2481992722.0
2020-11-17,Hornsea,ugs,Opening Stock,2562146253.0
2020-11-17,Holford,ugs,Opening Stock,2117735771.0
2020-11-17,Hill Top,ugs,Opening Stock,364839241.0
2020-11-17,Stublach,ugs,Opening Stock,4861999111.0
2020-11-18,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-18,South Hook,lng_terminal,Opening Stock,3175288875.0
2020-11-18,Dragon,lng_terminal,Opening Stock,918534743.0
2020-11-18,Isle Of Grain,lng_terminal,Opening Stock,4844144723.0
2020-11-18,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-18,Aldbrough,ugs,Opening Stock,2506443523.0
2020-11-18,Hornsea,ugs,Opening Stock,2582251849.0
2020-11-18,Holford,ugs,Opening Stock,2164621319.0
2020-11-18,Hill Top,ugs,Opening Stock,364871449.0
2020-11-18,Stublach,ugs,Opening Stock,4910619601.0
2020-11-19,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-19,South Hook,lng_terminal,Opening Stock,3100699215.0
2020-11-19,Dragon,lng_terminal,Opening Stock,882142245.0
2020-11-19,Isle Of Grain,lng_terminal,Opening Stock,4918345155.0
2020-11-19,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-19,Aldbrough,ugs,Opening Stock,2539116973.0
2020-11-19,Hornsea,ugs,Opening Stock,2595313057.0
2020-11-19,Holford,ugs,Opening Stock,2243710523.0
2020-11-19,Hill Top,ugs,Opening Stock,364871449.0
2020-11-19,Stublach,ugs,Opening Stock,4949915313.0
2020-11-20,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-20,South Hook,lng_terminal,Opening Stock,3010713871.0
2020-11-20,Dragon,lng_terminal,Opening Stock,785882087.0
2020-11-20,Isle Of Grain,lng_terminal,Opening Stock,5472330942.0
2020-11-20,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-20,Aldbrough,ugs,Opening Stock,2512759659.0
2020-11-20,Hornsea,ugs,Opening Stock,2586477336.0
2020-11-20,Holford,ugs,Opening Stock,2144113995.0
2020-11-20,Hill Top,ugs,Opening Stock,350154508.0
2020-11-20,Stublach,ugs,Opening Stock,4814877709.0
2020-11-21,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-21,South Hook,lng_terminal,Opening Stock,2896968630.0
2020-11-21,Dragon,lng_terminal,Opening Stock,1661817767.0
2020-11-21,Isle Of Grain,lng_terminal,Opening Stock,5283795508.0
2020-11-21,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-21,Aldbrough,ugs,Opening Stock,2482178647.0
2020-11-21,Hornsea,ugs,Opening Stock,2591804817.0
2020-11-21,Holford,ugs,Opening Stock,2173395844.0
2020-11-21,Hill Top,ugs,Opening Stock,350154508.0
2020-11-21,Stublach,ugs,Opening Stock,4803355905.0
2020-11-22,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-22,South Hook,lng_terminal,Opening Stock,2811122991.0
2020-11-22,Dragon,lng_terminal,Opening Stock,1450699352.0
2020-11-22,Isle Of Grain,lng_terminal,Opening Stock,4988263447.0
2020-11-22,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-22,Aldbrough,ugs,Opening Stock,2459500111.0
2020-11-22,Hornsea,ugs,Opening Stock,2595408610.0
2020-11-22,Holford,ugs,Opening Stock,2209422441.0
2020-11-22,Hill Top,ugs,Opening Stock,364874233.0
2020-11-22,Stublach,ugs,Opening Stock,4889717973.0
2020-11-23,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-23,South Hook,lng_terminal,Opening Stock,3771624722.0
2020-11-23,Dragon,lng_terminal,Opening Stock,1221038684.0
2020-11-23,Isle Of Grain,lng_terminal,Opening Stock,4796481964.0
2020-11-23,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-23,Aldbrough,ugs,Opening Stock,2437427312.0
2020-11-23,Hornsea,ugs,Opening Stock,2595408610.0
2020-11-23,Holford,ugs,Opening Stock,2167242741.0
2020-11-23,Hill Top,ugs,Opening Stock,364874233.0
2020-11-23,Stublach,ugs,Opening Stock,4896409723.0
2020-11-24,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-24,South Hook,lng_terminal,Opening Stock,3677244582.0
2020-11-24,Dragon,lng_terminal,Opening Stock,970959275.0
2020-11-24,Isle Of Grain,lng_terminal,Opening Stock,4329880695.0
2020-11-24,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-24,Aldbrough,ugs,Opening Stock,2403728024.0
2020-11-24,Hornsea,ugs,Opening Stock,2588570037.0
2020-11-24,Holford,ugs,Opening Stock,2126783361.0
2020-11-24,Hill Top,ugs,Opening Stock,364874233.0
2020-11-24,Stublach,ugs,Opening Stock,4874475693.0
2020-11-25,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-25,South Hook,lng_terminal,Opening Stock,3587806889.0
2020-11-25,Dragon,lng_terminal,Opening Stock,715311074.0
2020-11-25,Isle Of Grain,lng_terminal,Opening Stock,4042697599.0
2020-11-25,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-25,Aldbrough,ugs,Opening Stock,2414548995.0
2020-11-25,Hornsea,ugs,Opening Stock,2598036291.0
2020-11-25,Holford,ugs,Opening Stock,2233033603.0
2020-11-25,Hill Top,ugs,Opening Stock,366111169.0
2020-11-25,Stublach,ugs,Opening Stock,4885062045.0
2020-11-26,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-26,South Hook,lng_terminal,Opening Stock,3498554902.0
2020-11-26,Dragon,lng_terminal,Opening Stock,464300064.0
2020-11-26,Isle Of Grain,lng_terminal,Opening Stock,4644870997.0
2020-11-26,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-26,Aldbrough,ugs,Opening Stock,2425711927.0
2020-11-26,Hornsea,ugs,Opening Stock,2601247325.0
2020-11-26,Holford,ugs,Opening Stock,2161426419.0
2020-11-26,Hill Top,ugs,Opening Stock,366111169.0
2020-11-26,Stublach,ugs,Opening Stock,4870984463.0
2020-11-27,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-27,South Hook,lng_terminal,Opening Stock,3409202127.0
2020-11-27,Dragon,lng_terminal,Opening Stock,610128797.0
2020-11-27,Isle Of Grain,lng_terminal,Opening Stock,4865915458.0
2020-11-27,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-27,Aldbrough,ugs,Opening Stock,2310477746.0
2020-11-27,Hornsea,ugs,Opening Stock,2586520884.0
2020-11-27,Holford,ugs,Opening Stock,2092750155.0
2020-11-27,Hill Top,ugs,Opening Stock,351415065.0
2020-11-27,Stublach,ugs,Opening Stock,4828896288.0
2020-11-28,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-28,South Hook,lng_terminal,Opening Stock,3319821576.0
2020-11-28,Dragon,lng_terminal,Opening Stock,962875218.0
2020-11-28,Isle Of Grain,lng_terminal,Opening Stock,5333835619.0
2020-11-28,Humbly Grove,ugs,Opening Stock,2587057448.0
2020-11-28,Aldbrough,ugs,Opening Stock,2144321871.0
2020-11-28,Hornsea,ugs,Opening Stock,2548672899.0
2020-11-28,Holford,ugs,Opening Stock,2007680795.0
2020-11-28,Hill Top,ugs,Opening Stock,351415065.0
2020-11-28,Stublach,ugs,Opening Stock,4718330468.0
2020-11-29,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-29,South Hook,lng_terminal,Opening Stock,4360466023.0
2020-11-29,Dragon,lng_terminal,Opening Stock,691094190.0
2020-11-29,Isle Of Grain,lng_terminal,Opening Stock,5128844640.0
2020-11-29,Humbly Grove,ugs,Opening Stock,2538739392.0
2020-11-29,Aldbrough,ugs,Opening Stock,2190082835.0
2020-11-29,Hornsea,ugs,Opening Stock,2548672899.0
2020-11-29,Holford,ugs,Opening Stock,2007680795.0
2020-11-29,Hill Top,ugs,Opening Stock,351415065.0
2020-11-29,Stublach,ugs,Opening Stock,4717579774.0
2020-11-30,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-30,South Hook,lng_terminal,Opening Stock,4269442876.0
2020-11-30,Dragon,lng_terminal,Opening Stock,1425809689.0
2020-11-30,Isle Of Grain,lng_terminal,Opening Stock,5685497197.0
2020-11-30,Humbly Grove,ugs,Opening Stock,2489165223.0
2020-11-30,Aldbrough,ugs,Opening Stock,2276095040.0
2020-11-30,Hornsea,ugs,Opening Stock,2557228086.0
2020-11-30,Holford,ugs,Opening Stock,2112902499.0
2020-11-30,Hill Top,ugs,Opening Stock,366135347.0
2020-11-30,Stublach,ugs,Opening Stock,4754333960.0
2021-11-01,Humbly Grove,ugs,Opening Stock,2683902479.0
2021-11-01,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-01,Isle Of Grain,lng_terminal,Opening Stock,5920924348.0
2021-11-01,Aldbrough,ugs,Opening Stock,2400172193.0
2021-11-01,South Hook,lng_terminal,Opening Stock,2894394614.0
2021-11-01,Dragon,lng_terminal,Opening Stock,1745426720.0
2021-11-01,Hill Top,ugs,Opening Stock,490443176.0
2021-11-01,Holford,ugs,Opening Stock,2447554121.0
2021-11-01,Stublach,ugs,Opening Stock,4850270485.0
2021-11-01,Hornsea,ugs,Opening Stock,2979668977.0
2021-11-02,Hornsea,ugs,Opening Stock,2984645603.0
2021-11-02,Dragon,lng_terminal,Opening Stock,1614845118.0
2021-11-02,Hill Top,ugs,Opening Stock,490443176.0
2021-11-02,Aldbrough,ugs,Opening Stock,2403607777.0
2021-11-02,South Hook,lng_terminal,Opening Stock,2630331106.0
2021-11-02,Stublach,ugs,Opening Stock,4964350973.0
2021-11-02,Humbly Grove,ugs,Opening Stock,2683902479.0
2021-11-02,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-02,Holford,ugs,Opening Stock,2450500958.0
2021-11-02,Isle Of Grain,lng_terminal,Opening Stock,5860475030.0
2021-11-03,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-03,Holford,ugs,Opening Stock,2425205882.0
2021-11-03,Hill Top,ugs,Opening Stock,490443176.0
2021-11-03,South Hook,lng_terminal,Opening Stock,2351897883.0
2021-11-03,Aldbrough,ugs,Opening Stock,2403606449.0
2021-11-03,Isle Of Grain,lng_terminal,Opening Stock,5734874957.0
2021-11-03,Stublach,ugs,Opening Stock,4855675784.0
2021-11-03,Hornsea,ugs,Opening Stock,2986629886.0
2021-11-03,Dragon,lng_terminal,Opening Stock,1467093966.0
2021-11-03,Humbly Grove,ugs,Opening Stock,2683902479.0
2021-11-04,Holford,ugs,Opening Stock,2425205882.0
2021-11-04,Dragon,lng_terminal,Opening Stock,1287054732.0
2021-11-04,South Hook,lng_terminal,Opening Stock,3689027741.0
2021-11-04,Isle Of Grain,lng_terminal,Opening Stock,5673165597.0
2021-11-04,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-04,Hornsea,ugs,Opening Stock,2986629886.0
2021-11-04,Stublach,ugs,Opening Stock,4757630430.0
2021-11-04,Humbly Grove,ugs,Opening Stock,2683902479.0
2021-11-04,Aldbrough,ugs,Opening Stock,2360892268.0
2021-11-04,Hill Top,ugs,Opening Stock,490443176.0
