,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
122,2023-01-02,TTF,74.5,TTF,-,MWh,EUR,bid,2024,42 Financial Services,Year
123,2023-01-02,TTF,75.5,TTF,-,MWh,EUR,offer,2024,42 Financial Services,Year
124,2023-01-03,Czech VTP,72.14999999999999,Czech VTP,-,MWh,EUR,bid,DA,42 Financial Services,Daily
125,2023-01-03,Czech VTP,72.9,Czech VTP,-,MWh,EUR,offer,DA,42 Financial Services,Daily
126,2023-01-03,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,DA,42 Financial Services,Daily
127,2023-01-03,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,offer,DA,42 Financial Services,Daily
128,2023-01-03,VTP_TTF,0.75,Austria VTP,TTF,MWh,EUR,bid,DA,42 Financial Services,Daily
129,2023-01-03,VTP_TTF,1.375,Austria VTP,TTF,MWh,EUR,offer,DA,42 Financial Services,Daily
130,2023-01-03,THE VTP,71.64999999999999,THE VTP,-,MWh,EUR,bid,DA,42 Financial Services,Daily
131,2023-01-03,THE VTP,71.9,THE VTP,-,MWh,EUR,offer,DA,42 Financial Services,Daily
132,2023-01-03,SK VTP_CEGH,1.0,Slovak VTP,Austria VTP,MWh,EUR,bid,DA,42 Financial Services,Daily
133,2023-01-03,THE_TTF,0.35,THE VTP,TTF,MWh,EUR,bid,DA,42 Financial Services,Daily
134,2023-01-03,THE_TTF,0.4,THE VTP,TTF,MWh,EUR,offer,DA,42 Financial Services,Daily
135,2023-01-03,TTF,71.3,TTF,-,MWh,EUR,bid,DA,42 Financial Services,Daily
136,2023-01-03,TTF,71.5,TTF,-,MWh,EUR,offer,DA,42 Financial Services,Daily
137,2023-01-03,Czech VTP,74.1,Czech VTP,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
138,2023-01-03,Czech VTP,75.025,Czech VTP,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
139,2023-01-03,Czech Virtual Point_THE,0.1,Czech VTP,THE VTP,MWh,EUR,bid,FEB23,42 Financial Services,Month
140,2023-01-03,Czech Virtual Point_THE,0.9,Czech VTP,THE VTP,MWh,EUR,offer,FEB23,42 Financial Services,Month
141,2023-01-03,VTP_TTF,0.625,Austria VTP,TTF,MWh,EUR,bid,FEB23,42 Financial Services,Month
142,2023-01-03,VTP_TTF,1.0,Austria VTP,TTF,MWh,EUR,offer,FEB23,42 Financial Services,Month
143,2023-01-03,THE VTP,74.0,THE VTP,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
144,2023-01-03,THE VTP,74.125,THE VTP,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
145,2023-01-03,SK VTP_CEGH,0.3,Slovak VTP,Austria VTP,MWh,EUR,bid,FEB23,42 Financial Services,Month
146,2023-01-03,SK VTP_CEGH,2.0,Slovak VTP,Austria VTP,MWh,EUR,offer,FEB23,42 Financial Services,Month
147,2023-01-03,THE_TTF,0.5,THE VTP,TTF,MWh,EUR,bid,FEB23,42 Financial Services,Month
148,2023-01-03,THE_TTF,0.6,THE VTP,TTF,MWh,EUR,offer,FEB23,42 Financial Services,Month
149,2023-01-03,TTF,73.5,TTF,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
150,2023-01-03,TTF,73.525,TTF,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
151,2023-01-03,Czech VTP,76.02499999999999,Czech VTP,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
152,2023-01-03,Czech VTP,77.52499999999999,Czech VTP,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
